16,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301KSRJb01.jpeg,2024-09-07 09:39:53,,,
22,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301VA00FS1.jpeg,2024-09-07 09:45:14,,,
23,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301aWTsBY1.jpeg,2024-09-07 09:46:13,,,
24,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301dDJr9a1.jpeg,2024-09-07 09:47:03,,,
25,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301HGEeEe1.jpeg,2024-09-07 09:49:16,,,
28,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301dgMqtO1.jpeg,2024-09-07 09:51:46,,,
31,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj2003014qtVFU1.jpeg,2024-09-07 09:55:58,,,
39,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj2003012rJgf31.jpeg,2024-09-07 17:29:54,,,
40,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj2003012dRL5m1.jpeg,2024-09-07 17:34:39,,,
41,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301PAlIhC1.jpeg,2024-09-07 17:36:21,,,
42,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301F0n02H1.jpeg,2024-09-07 17:37:28,,,
45,192.168.0.11,8000,admin,12345,1,检测告警,3,检测终端,0,bj200301BWT0eT1.jpeg,2024-09-07 17:41:31,,,
